iter	Passed	Remaining
0	139	139456
1	142	71070
2	145	48386
3	148	36906
4	151	30163
5	154	25557
6	156	22246
7	159	19769
8	162	17899
9	165	16364
10	168	15108
11	170	14059
12	173	13166
13	176	12405
14	178	11705
15	180	11081
16	182	10530
17	183	10016
18	185	9554
19	186	9139
20	188	8767
21	189	8414
22	190	8103
23	191	7804
24	193	7532
25	194	7281
26	195	7042
27	196	6819
28	197	6610
29	198	6418
30	199	6237
31	200	6067
32	201	5906
33	202	5751
34	203	5607
35	204	5470
36	205	5343
37	206	5222
38	207	5105
39	207	4991
40	208	4881
41	209	4779
42	210	4681
43	211	4587
44	211	4497
45	212	4410
46	213	4328
47	214	4247
48	214	4170
49	215	4096
50	216	4024
51	216	3954
52	217	3888
53	218	3826
54	219	3764
55	219	3703
56	220	3645
57	221	3589
58	221	3534
59	222	3481
60	222	3429
61	223	3379
62	223	3330
63	224	3283
64	225	3238
65	225	3193
66	226	3151
67	226	3109
68	227	3069
69	228	3029
70	228	2991
71	229	2954
72	229	2918
73	230	2882
74	230	2848
75	231	2814
76	232	2782
77	232	2750
78	233	2718
79	233	2688
80	234	2658
81	234	2629
82	235	2597
83	235	2571
84	236	2544
85	236	2518
86	237	2492
87	238	2467
88	238	2442
89	239	2418
90	239	2394
91	240	2371
92	240	2348
93	241	2326
94	241	2304
95	242	2283
96	242	2262
97	243	2241
98	244	2221
99	244	2201
100	245	2182
101	245	2163
102	246	2144
103	246	2126
104	247	2108
105	247	2091
106	248	2074
107	249	2057
108	249	2040
109	250	2024
110	250	2009
111	251	1993
112	251	1978
113	252	1962
114	253	1947
115	253	1933
116	254	1917
117	254	1903
118	255	1889
119	255	1875
120	256	1862
121	256	1847
122	257	1834
123	257	1821
124	258	1808
125	258	1796
126	259	1783
127	259	1771
128	260	1759
129	261	1747
130	261	1735
131	262	1724
132	262	1712
133	263	1701
134	263	1690
135	264	1680
136	265	1669
137	265	1658
138	266	1649
139	266	1639
140	267	1629
141	267	1618
142	268	1608
143	268	1598
144	269	1589
145	270	1579
146	270	1570
147	271	1560
148	271	1551
149	272	1543
150	272	1534
151	273	1525
152	273	1516
153	274	1508
154	275	1499
155	275	1491
156	276	1483
157	276	1475
158	277	1467
159	277	1459
160	278	1450
161	278	1442
162	279	1434
163	279	1427
164	280	1419
165	281	1412
166	281	1405
167	282	1398
168	282	1390
169	283	1383
170	283	1376
171	284	1369
172	285	1362
173	285	1356
174	286	1349
175	286	1342
176	287	1335
177	287	1329
178	288	1322
179	288	1316
180	289	1310
181	290	1303
182	290	1297
183	291	1291
184	291	1285
185	292	1279
186	292	1273
187	293	1267
188	294	1263
189	295	1259
190	296	1253
191	296	1248
192	297	1243
193	297	1237
194	298	1231
195	298	1226
196	299	1221
197	300	1215
198	300	1210
199	301	1204
200	301	1199
201	302	1194
202	302	1189
203	303	1184
204	303	1178
205	304	1173
206	305	1168
207	305	1163
208	306	1158
209	306	1153
210	307	1149
211	307	1144
212	308	1139
213	308	1134
214	309	1130
215	310	1125
216	310	1121
217	311	1116
218	311	1112
219	312	1107
220	312	1103
221	313	1098
222	314	1094
223	314	1090
224	315	1085
225	315	1081
226	316	1077
227	316	1072
228	317	1068
229	318	1064
230	318	1060
231	319	1056
232	319	1052
233	320	1048
234	320	1044
235	321	1040
236	321	1036
237	322	1032
238	323	1028
239	323	1024
240	324	1020
241	324	1017
242	325	1013
243	325	1009
244	326	1005
245	327	1002
246	327	998
247	328	995
248	328	991
249	329	988
250	329	984
251	330	980
252	331	977
253	331	973
254	332	970
255	332	966
256	333	963
257	333	959
258	334	956
259	334	953
260	335	949
261	336	946
262	336	943
263	337	940
264	337	936
265	338	933
266	338	930
267	339	926
268	339	923
269	340	920
270	341	917
271	341	914
272	342	911
273	342	908
274	343	905
275	343	902
276	344	899
277	345	896
278	345	893
279	346	890
280	346	887
281	347	884
282	347	881
283	348	878
284	348	875
285	349	872
286	350	869
287	350	867
288	351	865
289	352	862
290	353	860
291	354	858
292	354	856
293	355	853
294	356	851
295	356	849
296	357	846
297	358	844
298	358	841
299	359	838
300	359	836
301	360	833
302	361	830
303	361	828
304	362	825
305	362	822
306	363	820
307	363	817
308	364	815
309	365	812
310	365	810
311	366	807
312	366	805
313	367	802
314	367	800
315	368	797
316	369	795
317	369	792
318	370	790
319	370	787
320	371	785
321	371	782
322	372	780
323	373	778
324	373	775
325	374	773
326	374	771
327	375	768
328	375	766
329	376	764
330	376	761
331	377	759
332	378	757
333	378	755
334	379	752
335	379	750
336	380	748
337	380	746
338	381	743
339	382	741
340	382	739
341	383	737
342	383	735
343	384	733
344	384	730
345	385	728
346	386	726
347	386	724
348	387	722
349	387	720
350	388	718
351	389	716
352	389	714
353	390	711
354	390	709
355	391	707
356	391	705
357	392	703
358	392	701
359	393	699
360	393	697
361	394	695
362	395	693
363	395	691
364	396	689
365	397	688
366	397	686
367	398	684
368	399	682
369	399	680
370	400	678
371	400	676
372	401	674
373	402	673
374	402	671
375	403	669
376	404	667
377	404	665
378	405	664
379	405	662
380	406	660
381	407	658
382	407	656
383	408	654
384	408	652
385	409	651
386	409	649
387	410	647
388	410	645
389	411	643
390	412	641
391	412	640
392	413	638
393	413	636
394	414	634
395	414	632
396	415	631
397	415	629
398	416	627
399	417	625
400	417	624
401	418	622
402	418	620
403	419	618
404	420	617
405	420	615
406	421	613
407	421	611
408	422	610
409	422	608
410	423	606
411	423	604
412	424	603
413	425	601
414	425	599
415	426	598
416	426	596
417	427	594
418	427	593
419	428	591
420	428	589
421	429	588
422	430	586
423	430	584
424	431	583
425	431	581
426	432	579
427	432	578
428	433	576
429	433	575
430	434	573
431	435	572
432	435	570
433	436	568
434	436	567
435	437	565
436	437	564
437	438	562
438	438	560
439	439	559
440	440	557
441	440	556
442	441	554
443	441	553
444	442	551
445	442	549
446	443	548
447	443	546
448	444	545
449	444	543
450	445	542
451	446	540
452	446	539
453	447	537
454	447	536
455	448	535
456	449	533
457	449	532
458	450	530
459	450	529
460	451	527
461	451	526
462	452	524
463	452	523
464	453	521
465	454	520
466	454	518
467	455	517
468	455	516
469	456	514
470	456	513
471	457	511
472	458	510
473	458	508
474	459	507
475	459	505
476	460	504
477	460	503
478	461	501
479	461	500
480	462	498
481	462	497
482	463	496
483	464	494
484	464	493
485	465	492
486	465	490
487	466	489
