iter	Passed	Remaining
0	154	154816
1	159	79497
2	162	54094
3	165	41254
4	169	33655
5	172	28653
6	175	24956
7	177	22062
8	180	19882
9	182	18041
10	185	16697
11	187	15476
12	189	14369
13	190	13409
14	191	12557
15	192	11812
16	192	11156
17	193	10573
18	194	10051
19	195	9582
20	196	9160
21	197	8776
22	198	8446
23	199	8122
24	200	7818
25	201	7536
26	201	7272
27	202	7027
28	203	6809
29	204	6596
30	204	6396
31	205	6210
32	205	6034
33	206	5868
34	207	5711
35	207	5563
36	208	5421
37	208	5287
38	209	5160
39	209	5038
40	210	4922
41	211	4813
42	212	4727
43	213	4638
44	214	4544
45	214	4455
46	215	4371
47	216	4289
48	216	4209
49	217	4133
50	218	4060
51	218	3990
52	219	3922
53	220	3856
54	220	3794
55	221	3733
56	222	3675
57	223	3621
58	223	3565
59	224	3510
60	224	3457
61	225	3406
62	225	3356
63	226	3308
64	227	3277
65	228	3237
66	230	3204
67	230	3165
68	231	3127
69	232	3089
70	233	3052
71	233	3014
72	234	2978
73	235	2942
74	235	2907
75	236	2873
76	236	2840
77	237	2809
78	238	2777
79	238	2746
80	239	2716
81	240	2688
82	240	2656
83	243	2652
84	244	2627
85	245	2607
86	246	2584
87	247	2559
88	247	2533
89	248	2508
90	248	2484
91	249	2460
92	249	2436
93	250	2412
94	250	2389
95	251	2367
96	251	2344
97	252	2323
98	252	2301
99	253	2281
100	254	2260
101	254	2240
102	255	2221
103	256	2206
104	256	2189
105	257	2175
106	258	2157
107	259	2139
108	259	2121
109	260	2104
110	260	2087
111	261	2070
112	261	2053
113	262	2037
114	262	2021
115	263	2005
116	263	1989
117	264	1974
118	264	1959
119	265	1944
120	265	1930
121	266	1916
122	266	1902
123	267	1888
124	267	1875
125	268	1861
126	268	1848
127	269	1835
128	269	1822
129	271	1815
130	271	1804
131	272	1792
132	273	1779
133	273	1768
134	274	1756
135	274	1744
136	275	1733
137	275	1722
138	276	1711
139	276	1700
140	277	1689
141	277	1677
142	278	1667
143	278	1657
144	279	1646
145	279	1636
146	280	1626
147	280	1616
148	281	1607
